Molecule ChEMBL ID,MOL_molhash_id,MOL_num_stereoisomers,CLS_pChEMBL Value,AC_CLS_pChEMBL Value,MOL_molhash_id_no_stereo,MOL_smiles,pChEMBL Value,Smiles,split
CHEMBL4864112,0de8fa766570544f88d881f1f2833d502229ae35,1,0.0,False,bd438e4490eb1e28faffabeda36035d9a86feaf5,COc1ccc(C(=O)NCCCCN2CCO[C@@H]3c4cc(OC)ccc4OC[C@H]32)cc1,6.16,COc1ccc(C(=O)NCCCCN2CCO[C@@H]3c4cc(OC)ccc4OC[C@H]32)cc1,train
CHEMBL281248,cd15d89a82a96a19d0329e9a4069cb5fb2084ad5,1,1.0,False,39003d96ec23d2bf83d192b4cd6007b9e2377f52,CCCN(CCC)[C@@H]1Cc2cccc3nc(S)n(c23)C1,9.22,CCCN(CCC)[C@@H]1Cc2cccc3nc(S)n(c23)C1,train
CHEMBL418854,fee32690739cb45f3e26b2e6b35c6b403f25c3b3,1,1.0,False,c246583bf135a4ecf2f5e55133d1ea5f5bafd7de,COc1ccccc1N1CCC(CNCC2COc3ccc(Cl)cc3O2)CC1,7.88,COc1ccccc1N1CCC(CNCC2COc3ccc(Cl)cc3O2)CC1,train
CHEMBL2159476,a5cff08135391dd377353b4ca0c0041ea954d56d,1,0.0,False,e816ca752bbcfd31553b9fd66ce404a3737c7f19,O=S(=O)(NC1CCN(CCOc2ccccc2)C1)c1ccc(Cl)s1,6.5,O=S(=O)(NC1CCN(CCOc2ccccc2)C1)c1ccc(Cl)s1,train
CHEMBL4067700,37f548014523ca53a7c550fa340e861f01f30e59,1,0.0,False,a4624b60e821ccda610b8b599141bf610fe5f220,Cc1[nH]c2ccc(Cl)cc2c1C1=CCN(CCNS(=O)(=O)c2ccc3ccccc3c2)CC1,6.75,Cc1[nH]c2ccc(Cl)cc2c1C1=CCN(CCNS(=O)(=O)c2ccc3ccccc3c2)CC1,train
CHEMBL5178499,dacff3480c7fd422a9940e9a714ce4f6f97f9c2e,1,0.0,False,cda8dc085105a8582d596eb38ef007028be7bdcc,Nc1nc(NCCNc2ccccc2)nc(NCCc2c[nH]c3ccccc23)n1,5.06,Nc1nc(NCCNc2ccccc2)nc(NCCc2c[nH]c3ccccc23)n1,train
CHEMBL3358493,1c2a4629783532c80ef386e0d14f2770522af1f7,1,1.0,False,c1f8e7978fed4b5f440a0d9275cd9a712f9e7940,Cc1cccc(N2CCN(CCCCNC(=O)c3cc4ccccc4o3)CC2)c1C,7.07,Cc1cccc(N2CCN(CCCCNC(=O)c3cc4ccccc4o3)CC2)c1C,train
CHEMBL370457,c317a5d01c2c6234c957ab37fc1eecbec62987ce,1,1.0,False,cfd3b5f400931382528e9988e307134246006ca9,C[C@@H]1Oc2c(cccc2N2CCN(CCCc3c[nH]c4ccc(F)cc34)CC2)NC1=O,8.33,C[C@@H]1Oc2c(cccc2N2CCN(CCCc3c[nH]c4ccc(F)cc34)CC2)NC1=O,train
CHEMBL4866053,a25f4b3af61c4bf95fa82fe7d70c5ca6be627381,1,0.0,False,b8ba387248b16cd77266a69443be874e713184d5,OC1c2ccc(F)cc2CC1CCN1CCN(c2ccccn2)CC1,6.29,OC1c2ccc(F)cc2CC1CCN1CCN(c2ccccn2)CC1,train
CHEMBL4277264,74f9670120a297414a016ff4253bc79907f86f86,1,0.0,False,9c6ad0efaf940e88b9bc53ce9d9b2cfb35091550,Cc1cc(Oc2nccc3occc23)ccc1-c1c(C)ncc2nccn12,5.08,Cc1cc(Oc2nccc3occc23)ccc1-c1c(C)ncc2nccn12,train
